,last_name,first_name,affiliation_names,affiliation_locations
0,,Kimbra,['None'],['None']
1,Abe,Koji,['Akita Prefectural University'],"['Yurihonjo Akita, Japan']"
2,Abel,Jonathan,['Stanford University'],"['Stanford, CA, USA']"
3,Abramson,Zach,['YouTooCanWoo'],['None']
4,Ackerman,Kaylie,['Harvard University'],"['Cambridge, MA, USA']"
5,Agnello,Anthony,['Eventide Inc.'],"['Little Ferry, NJ, USA']"
6,Agrawal,Sarvesh,"['Bang & Olufsen a/s', 'Department of Photonics Engineering, Technical University of Denmark']","['Struer, Denmark', 'None']"
7,Agus,Trevor,['Queens University Belfast'],"['Belfast, UK']"
8,Aichinger,Thomas,['scopeaudio'],['Austria']
9,Ajemian,Ronald,['Owl Fiber Optics'],"['Flushing, NY, USA']"
10,Albergo,Mark,['None'],['None']
11,Alexander,Prince,['Berklee College of Music'],"['Boston, MA, USA']"
12,Altinsoy,M.,['TU Dresden'],"['Dresden, Germany']"
13,Amaya,Nestor,['Ross Video / COVELOZ Technologies'],"['Ottawa, ON, Canada']"
14,Ammermann,Tom,['New Audio Technology GmbH'],"['Hamburg, Germany']"
15,Anderson,David,['University of Pittsburgh'],"['Pittsburgh, PA, USA']"
16,Anderson,Jamie,['Rational Acoustics LLC'],"['Woodstock, CT, USA']"
17,Anemüller,Carlotta,['International Audio Laboratories Erlangen'],"['Erlangen, Germany']"
18,Austin,Abhita,['Audio Engineer-Producer and Founder of The Creator’s Suite'],['None']
19,Avila Brothers,IZ,['Avila Brothers'],['None']
20,Ayan,Adam,['Gateway Mastering Studios'],"['Portland, ME USA']"
21,Babbitt,Mike,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
22,Bærentsen,Klaus,['Aarhus University'],"['Aarhus, Denmark']"
23,Bagley,Jason,['Art+Logic'],"['Pasadena, CA, USA']"
24,Balding,Jeff,['NARAS P&E Wing'],['None']
25,Banka,Ritesh,['Samsung Research America'],['USA']
26,Banks,Joy,['CLIR'],['None']
27,Barak,Ohad,['Mentor Graphics'],"['Mountain View, CA, USA']"
28,Barber,David,"['Juniper Post, Inc.']","['Burbank, CA, USA']"
29,Barnes,Matt,['Australian National University'],"['Canberra, Australia']"
30,Barthet,Mathieu,['Queen Mary University of London'],"['London, UK']"
31,Barton,Stephen,"['Respawn Entertainment/EA', 'Afterlight Inc.']","['Los Angeles, CA, USA', 'Los Angeles, CA, USA']"
32,Baruch,Katarzyna,['Gorycki&Sznyterman Sp. z o.o.'],"['Cracow, Poland']"
33,Bastyr,Kevin,['Harman International'],"['Novi, MI, USA']"
34,Baxter,Dennis,['Dennis Baxter Sound'],"['Gainesville, GA, USA']"
35,Beauchamp,James,['Univ. of Illinois at Urbana-Champaign'],"['Urbana, IL, USA']"
36,Beauchemin,Joseph,['Analog Devices'],['None']
37,Bech,Søren,"['Bang & Olufsen a/s', 'Aalborg University']","['Struer, Denmark', 'Aalborg, Denmark']"
38,Beck,Thavius,['None'],['None']
39,Beer,Daniel,['Fraunhofer Institute for Digital Media Technology IDMT'],"['Ilmenau, Germany']"
40,Beguerie,Carli,['Studio Instrument Rentals/Mastering Boutique'],"['New York, NY, USA']"
41,Bell,Tom,"['Bowers & Wilkins', 'University of Southampton']","['Southwater, West Sussex, UK', 'Southampton, Hampshire, UK']"
42,Bender,Lon,['The Formosa Group'],"['Los Angeles, CA, USA']"
43,Bennett,Samantha,['Australian National University'],"['Canberra, Australia']"
44,Bennington,Justin,['Belmont University'],"['Nashville, TN, USA']"
45,Berg,Jan,['Luleå University of Technology'],"['Piteå, Sweden']"
46,Berge,Svein,['Harpex Ltd'],"['Berlin, Germany']"
47,Berkow,Sam,['SIA Acoustics'],"['Los Angeles, CA, USA']"
48,Berkowitz,Steve,['Award Winning Producer'],['None']
49,Berryman,Jeff,['OCA Alliance'],['None']
50,Bettarelli,Ferruccio,['Leaff Engineering'],"['Osimo, Italy']"
51,Beyer,Lucas,['Leibniz Universität Hannover'],"['Hannover, Germany']"
52,Beyer,Tom,['New York University'],"['New York, NY, USA']"
53,Bezzola,Andri,['Samsung Research America'],['USA']
54,Bharitkar,Sunil,"['HP Labs., Inc.']","['San Francisco, CA, USA']"
55,Bialik,David,['Entercom.com'],"['New York, NY, USA']"
56,Bierylo,Michael,['Berklee College of Music'],"['Brookline, MA, USA']"
57,Bitner,Jason,['Traffic Entertainment Group'],"['Somerville, MA, USA']"
58,Bjørnskov,Anders,['ICEpower'],"['Søborg, Denmark']"
59,Blake,Tchad,['Real World Studios'],['UK']
60,Blaze,Just,"['Jay-Z, Kanye West']",['None']
61,Bleidt,Robert,['Fraunhofer USA Digital Media Technologies'],"['San Jose, CA, USA']"
62,Blum,Alan,['École Nationale Supérieure Louis Lumière'],"['Saint-Denis, France']"
63,Bock,Stefan,['msm-studios GmbH'],"['Munich, Germany']"
64,Bocko,Mark,['University of Rochester'],"['Rochester, NY, USA']"
65,Boeckmann,Kristi,['Facebook'],"['Menlo Park, CA, USA']"
66,Bol,Toby,['University of Lethbridge'],"['Lethbridge, Canada']"
67,Bolas,Niko,"['The Surf Shack Studio', 'Germano Studio']","['USA', 'USA']"
68,Boot,Tim,"['Global Brand Strategist, Meyer Sound']","['Berkeley, CA, USA']"
69,Born,John,"['Senior Product Manager, Shure Inc.']","['Niles, IL, USA']"
70,Borujow,Ariel,['Westward Music Group Inc.'],['None']
71,Botkin-Levy,Elena,['Women’s Audio Mission'],"['San Francisco, CA, USA']"
72,Bowles,David,['Swineshead Productions LLC'],"['Berkeley, CA, USA']"
73,Braasch,Jonas,['Rensselear Polytechnic Institute'],"['Troy, NY, USA']"
74,Brandmeyer,Alex,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
75,Brathwaite,Leslie,['None'],['None']
76,Brauer,Michael,['Michael Brauer'],"['New York, NY, USA']"
77,Bravo-Moncayo,Luis,['Universidad de Las Américas'],"['Quito, Ecuador']"
78,Brawata,Krzysztof,['Gorycki&Sznyterman Sp. z o.o.'],"['Cracow, Poland']"
79,Brenner,Corinne,['New York University'],"['New York, NY, USA']"
80,Bresler,Zachary,['University of Agder'],"['Kristiansand S, Vest-Agder, Norway']"
81,Briand,Manuel,['AT&T'],"['El Segundo, CA, USA']"
82,Bridgett,Rob,['Eidos Montreal'],"['Montreal, Canada']"
83,Brixen,Eddy,"['EBB-consult', 'DPA Microphones']","['Smørum, Denmark', 'Allerød, Denmark']"
84,Brooke,Tony,"['DDEX, Pandora, Recording Academy']","['San Francisco, CA, USA']"
85,Brown,Phil,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
86,Brunet,Pascal,"['Samsung Research America', 'Audio Group']","['USA', 'Digital Media Solutions']"
87,Brunner,Mark,['Shure Incorporated'],"['Niles, IL USA']"
88,Bruschi,Valeria,['Univeresità Politecnica delle Marche'],"['Ancona, Italy']"
89,Bucano,Rocky,['Universal Hip-Hop Museum'],['None']
90,Buffington,Mike,['None'],['None']
91,Bulla,Wesley,['Belmont University'],"['Nashville, TN, USA']"
92,Bunkheila,Gabriele,['MathWorks'],"['Madrid, Spain']"
93,Burdiel Pérez,Elena,['Fraunhofer IIS'],"['Erlangen, Germany']"
94,Burgess,Scott,['University of Colorado Denver'],"['Denver, CO, USA']"
95,Busenitz,John,['Bose Corporation'],"['Framingham, MA, USA']"
96,Butler,Andy,['PBS'],['None']
97,Byers,Rob,['Minnesota Public Radio | American Public Media'],"['Minneapolis, MN, USA']"
98,Byrd,John,['Gigantic Software'],"['Santa Ana, CA, USA']"
99,Calle Benitez,Juan,['THX Ltd.'],"['San Francisco, CA, USA']"
100,Camerer,Florian,"['ORF', 'EBU']","['Austrian TV', 'European Broadcasting Union']"
101,Canalis,Ianina,['National University of Lanús'],"['Buenos Aires, Argentina']"
102,Capeless,Richard,['Deep Groove Mono'],"['New York, NY, USA']"
103,Cappellino,Neal,['Multiple Grammy-winning Engineer'],['None']
104,Caracciolo,John,['JVC Media LLC'],"['Ronkonkoma, NY, USA']"
105,Card,Arlen,['Utah Valley University'],"['Orem, UT, USA']"
106,Cardenas,William,['ORA Graphine Audio Inc.'],"['Montreal, Quebec, Canada']"
107,Carroll,Tim,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
108,Case,Alex,['University of Massachusetts Lowell'],"['Lowell, MA, USA']"
109,Cecchi,Stefania,['Universitá Politecnica della Marche'],"['Ancona, Italy']"
110,Celestinos,Adrian,['Samsung Research America'],"['Valencia, CA, USA']"
111,Chamard,Jean-Christophe,['PSA Group'],"['Rueil-Malmaison, France']"
112,Chambers-Moranz,Ryland,['University of Lethbridge'],"['Lethbridge, AB, Canada']"
113,Chamblee,Lisa,['None'],['None']
114,Changenet,Frédéric,['Radio France'],"['Paris, France']"
115,Charlesworth,Roger,['DTV Audio Group'],"['New York, NY, USA']"
116,Chau,Kevin,['Hong Kong University of Science and Technology'],"['Clean Water Bay, Hong Kong']"
117,Chen,Rui,['Nanjing University'],"['Nanjing, China']"
118,Chen,Yijia,['Hong Kong University of Science and Technology'],"['Clean Water Bay, Hong Kong']"
119,Chen,Yunda,['Guangzhou University'],"['Guangzhou, China']"
120,Cheng,Linjuan,"['Institute of Acoustics, Chinese Academy of Sciences']","['Beijing, China']"
121,Chervony,Justin,['University of Miami'],['Frost School of Music']
122,Cheshire,Matthew,['Birmingham City University'],"['Birmingham, UK']"
123,Chew,Elaine,['CNRS-UMR9912/STMS'],['None']
124,Chiccarelli,Joe,"['Producer, mixer, engineer']","['Boston, MA, USA']"
125,Chisari,Letizia,['Contralto Audio srl'],"['Casoli, Italy']"
126,Chojnacki,Bartlomiej,"['AGH University of Science and Technology', 'Mega-Acoustic']","['Cracow, Poland', 'Kepno, Poland']"
127,Christensen,Theis,['ICEpower'],"['Søborg, Denmark']"
128,Ciaudelli,Joe,['Sennheiser'],"['Old Lyme, CT USA']"
129,Ciletti,Eddie,"['Manhattan Sound Technicians, Inc.']","['West Saint Paul, MN, USA']"
130,Cipriano,Renato,['Walters Storyk Design Group'],"['Belo Horizonte, Brazil']"
131,Clearmountain,Bob,['Mix This!'],"['Pacific Palisades, CA, USA']"
132,Cohen,Jeff,['SMPTE NY Section Chair'],['None']
133,Cohen,Reuben,['Lurssen Mastering'],"['Burbank, CA, USA']"
134,Colburn,Benjamin,['ARiA Acoustics'],"['Washington, DC, USA']"
135,Coleman,Philip,['University of Surrey'],"['Guildford, Surrey, UK']"
136,Colletti,Justin,['None'],['None']
137,Collier,Cosette,['Middle Tennessee State Univ.'],"['Murfreesboro, TN, USA']"
138,Colonel,Joseph,['Queen Mary University of London'],"['London, UK']"
139,Corbett,Ian,"['Kansas City Kansas Community College', 'off-beat-open-hats recording & sound reinforcement']","['Kansas City, KS, USA', 'None']"
140,Corey,Jason,['University of Michigan'],"['Ann Arbor, MI, USA']"
141,Corteel,Etienne,['L-Acoustics'],"['Marcoussis, France']"
142,Costantini,Giacomo,['University of Southampton'],"['Southampton, UK']"
143,Craig,Gil,"['Western Audio Engineering Ltd.', 'Auckland']","['Wellington, New Zealand', 'None']"
144,Crum,Poppy,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
145,Curtin,Owen,"['Audio Builders Workshop', 'Bridge Sound and Stage']","['Lexington, MA, USA', 'Cambridge, MA, USA']"
146,Cuscuna,Michael,['Mosaic Records'],['None']
147,Dack,Connor,['Flat Earth Inc.'],"['Bozeman, MT, USA']"
148,Dahlbom,David,['Rensselaer Polytechnic Institute'],"['Troy, NY, USA']"
149,D'Antonio,Peter,['Walters Storyk Design Group'],['None']
150,Darcy,Dan,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
151,Das,Orchisama,['Center for Computer Research in Music and Acoustics'],['None']
152,Datta,Jayant,['Audio Precision'],"['Beaverton, OR, USA']"
153,Davies,Rhys,['BBC Studios'],"['Cardiff, Wales, UK']"
154,Davis,Fela,['Christian McBride'],"['Ft. Lee, NJ']"
155,Davis,Tyler,['Flat Earth Inc.'],"['Bozeman, MT, USA']"
156,De Oliveira,Rivanaldo,"['Qualcomm Technologies, Inc.']","['San Diego, CA, USA']"
157,Deb,Sayon,['Consumer Technology Association'],"['Arlington, VA, USA']"
158,Delcourt,Kevin,"['École Nationale Supérieure Louis Lumière', 'Sorbonne Université, Paris']","['Saint-Denis, France', 'Paris, France']"
159,Delgado,Pablo,"['International Audio Laboratories Erlangen', 'Fraunhofer Institute for Integrated Circuits IIS']","['Erlangen, Germany', 'Erlangen, Germany']"
160,DeLore,John,"['Chief Engineer, Stitcher']",['None']
161,Dembeck,Dennis,"['New York University', 'Flavorlab']","['New York, NY, USA', 'None']"
162,DeNio,Ien,['None'],['None']
163,Detweiler,Jeff,['XPERI Corporation/HD Radio'],"['Columbia, Maryland, USA']"
164,DeVane,Charlie,"['Mathworks', 'University of Massachusetts Lowell']","['Natick, MA, USA', 'Lowell, MA, USA']"
165,Devantier,Allan,"['Samsung Research America, Audio Lab']","['Valencia, CA, USA']"
166,DG ,,['None'],['None']
167,Di Cola,Mario,['Contralto Audio srl'],"['Casoli, Italy']"
168,Diaz,Cedric,"['Senior Sound Designer, People Can Fly']","['New York, NY, USA']"
169,Dick,Sascha,"['International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS', 'Fraunhofer Institute for Integrated Circuits IIS']","['Erlangen, Germany', 'Erlangen, Germany']"
170,Dieterle,Hannes,['SCHOEPS Mikrofone GmbH'],"['Karlsruhe, Germany']"
171,DiPasquale,Kelley,"['SUNY Potsdam, Crane School of Music']","['Potsdam, NY, USA']"
172,DiPasquale,Vincent,['University of Colorado Denver'],"['Denver, CO, USA']"
173,Disch,Sascha,['Fraunhofer IIS'],"['Erlangen, Germany']"
174,Dobberteen,Buddy,['None'],['None']
175,Dobson,Alexander,['McGill University'],"['Montreal, QC, Canada']"
176,Dodd,Mark,['Celestion'],"['Woodbridge, Suffolk, UK']"
177,Doken,Serhad,['Verizon'],['None']
178,Dong,Hao,['Nanjing University'],"['Nanjing, China']"
179,Dopson,Larrance,['None'],['None']
180,Douglass,Jimmy,"['Engineer, producer']",['USA']
181,Dove,Steve,['Wheatstone'],['None']
182,Drioli,Axel,['Philharmonia Orchestra'],"['London, UK']"
183,Droney,Maureen,['The Recording Academy'],"['Los Angeles, CA, USA']"
184,Dudderidge,Phil,"['Executive Chariman, Focusrite PLC']","['High Wycombe, Bucks, UK']"
185,Dugan,Jim,['JetWave Wireless'],['None']
186,Dunker,Thomas,['None'],['None']
187,Dyster,Martin,['The Telos Alliance'],"['Cleveland, OH USA']"
188,Earnshaw,Chris,['University of York'],"['York, UK']"
189,Edler,Bernd,"['Friedrich Alexander University', 'Fraunhofer IIS']","['Erlangen-Nürnberg, Germany', 'Erlangen, Germany']"
190,Ehsan,Muhammad,['University of Central Punjab'],"['Lahore, Pakistan']"
191,Eley,Nolan,['New York University'],"['New York, NY, USA']"
192,Elko,Gary,['mh acoustics'],"['Summit, NJ  USA']"
193,Elliot-Brown,Judy,"['Walters Storyk Design Group', 'Rocket Science']","['Highland, NY, USA', 'Surprise, NY, USA']"
194,Elmosnino,Stephane,"['University of Technology Sydney', 'SAE Institute']","['Sydney, New South Wales, Australia', 'Brisbane, Queensland, Australia']"
195,Escobar,John,['Berklee College of Music'],"['Boston, MA, USA']"
196,Escobedo,Ben,"['Shure Market Development & Michael Mason, President of CP Communications']",['None']
197,Ethier,Mark,"['CEO, iZotope']","['Cambridge, MA, USA']"
198,Evans,Christopher,['The Benedum Center'],"['Pittsburgh, PA, USA']"
199,Faces,Manny,['The Center for Hip-Hop Advocacy'],"['Newark, NJ, USA']"
200,Factor,Richard,['Eventide Inc.'],"['Little Ferry, NJ, USA']"
201,Faller,Christof,"['Illusonic GmbH', 'EPFL']","['Uster, Zürich, Switzerland', 'Lausanne, Switzerland']"
202,Farrey,John,['None'],['None']
203,Fauntleroy,James,['None'],['None']
204,Favrot,Alexis,['Illusonic GmbH'],"['Uster, Switzerland']"
205,Fazi,Filippo,['University of Southampton'],"['Southampton, Hampshire, UK']"
206,Fejzo,Zoran,['DTS/Xperi Corp.'],"['Calabasas, CA, USA']"
207,Feldmar,Emeric,['WGBH'],['None']
208,Feng,Tao,['Harman International'],"['Novi, MI, USA']"
209,Ferrisi,Dan,['Sound & Communications'],"['Port Washington, NY, USA']"
210,Fielder,Louis,['Retired'],"['Millbrae, CA, USA']"
211,Fieser,Brian,['Gearbox Software'],['None']
212,Filipetti,Frank,['The Living Room'],"['New York, NY, USA']"
213,Flangan,Patrick,['THX Ltd.'],['None']
214,Fleischman,Tom,['Soundtrack Film & Television'],"['New York, NY, USA']"
215,Foley,Joe,['Capital City Sound'],['None']
216,Forchhammer,Søren,['Technical University of Denmark'],"['Lyngby, Denmark']"
217,Foti,Frank,['The Telos Alliance'],"['Cleveland, Ohio, USA']"
218,Fox,Benjamin,['Belmont University'],"['Nashville, TN, USA']"
219,Franck,Andreas,['University of Southampton'],"['Southampton, Hampshire, UK']"
220,Francombe,Jon,['BBC Research and Development'],"['Salford, UK']"
221,Friedrich,Rob,['Library of Congress'],['None']
222,Fukuda,Yuki,['Hiroshima City University'],"['Hiroshima-shi, Japan']"
223,Fuston,Lynn,['Sweetwater'],"['Fort Wayne, IN, USA']"
224,Fybush,Scott,['Northeast Radio Watch'],['None']
225,Gargel,Mauricio,['Mauricio Gargel Audio Mastering'],"['Sao Paulo, SP. Brazil']"
226,Garzón-Pico,Christiam,['Universidad de Las Américas'],"['Quito, Ecuador']"
227,Gaskell,Robert-Eric,['McGill University'],"['Montreal, QC, Canada']"
228,Gaston-Bird,Leslie,"['Mix Messiah Productions', 'Audio Engineering Society']","['Brighton, UK', 'London, UK']"
229,Gates,Syreeta,['None'],['None']
230,Gazengel,Bruno,['Université du Maine'],"['Le Mans Cedex 9, France']"
231,Geluso,Paul,['New York University'],"['New York, NY, USA']"
232,Geng,Xianzheng,['Hong Kong University of Science and Technology'],"['Clean Water Bay, Hong Kong']"
233,Genovese,Andrea,['New York University'],"['New York, NY, USA']"
234,Gerbet,Jonathan,['Klippel GmbH'],"['Dresden, Germany']"
235,Gervino,Tony,['None'],['None']
236,Ghenea,Serban,['None'],['None']
237,Giaroli,Luca,['DirectOut'],['None']
238,Gibbs,Bt,"['Skyline Entertainment and Publishing', 'Tool Shed Studios']","['Morgan Hill, CA, USA', 'Morgan Hill, CA, USA']"
239,Gibson,Pamela,['None'],['None']
240,Gill,Dan,['Akai Professional'],"['Cumberland, RI, USA']"
241,Glass,Jason,['Clean Wireless'],['None']
242,Glasscock,Brian,['Sennheiser'],['None']
243,Golokolenko,Oleg,['TU- Ilmenau'],"['Ilmenau, Germany']"
244,Gonzales,Jocelyn,['None'],['None']
245,Goodwyn,Peterson,['DIY Recording Equipment'],"['Philadephia, PA, USA']"
246,Gospodarek,Marta,['New York University'],"['New York, NY, USA']"
247,Götz,Georg,['Aalto University'],"['Espoo, Finland']"
248,Graff,Richard,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
249,Graham,Richard,['Delta Sound Labs'],"['Cleveland, OH, USA']"
250,Grandmaster Flash ,,['None'],['None']
251,Graves,Michael,['Osiris Studio'],"['Los Angeles, CA, USA']"
252,Green,Dan,['None'],['None']
