,last_name,first_name,affiliation_names,affiliation_locations
398,Lord,Jo,['University of West London'],"['London, UK']"
399,Lord-Alge,Chris,['Mix LA'],"['Los Angeles, CA, USA']"
400,Lord-Alge,Tom,['SPANK Studios'],"['South Beach, FL, USA']"
401,Losada,JC,['Grammy and Latin Grammy Award winning Engineer & Producer'],['None']
402,Lou,Breakbeat,['Ultimate Breaks and Beats'],['None']
403,Lu,Lie,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
404,Lu,Xun,"['Power Grid Planning Center, Guandgong Power Grid Company']","['Guangdong, China']"
405,Ludwig,Bob,"['Gateway Mastering Studios, Inc.']","['Portland, ME, USA']"
406,Lukin,Alexey,"['iZotope, Inc.']","['Cambridge, MA, USA']"
407,Lund,Thomas,['Genelec Oy'],"['Iisalmi, Finland']"
408,Lurssen,Gavin,['Lurssen Mastering'],"['Los Angeles, CA, USA']"
409,Lysolvanov,Yuri,"['Flashpoint Chicago, a campus of Columbia College Hollywood']","['Chicago, IL, USA']"
410,MacDonell,Marcus,['University of Waikato'],"['Hamilton, Waikato, New Zealand']"
411,Macey,Patrick,['PACSYS Limited'],"['Nottingham, UK']"
412,Maddox,Brian,['None'],['None']
413,Magalotti,Roberto,['B&C Speakers S.p.A.'],['Bagno a Ripoli']
414,Maher,Robert,['Montana State University'],"['Bozeman, MT, USA']"
415,Mailhot,John,['Imagine Communications'],"['Bridgewater, NJ, USA']"
416,Mäkivirta,Aki,['Genelec Oy'],"['Iisalmi, Finland']"
417,Malekpour,David,"['Professional Audio Design, Inc.']",['None']
418,Malone,Karl,['NBC Universal'],"['Stamford, CT, USA']"
419,Männchen,Andreas,['Fraunhofer Institute for Digital Media Technology IDMT'],"['Ilmenau, Germany']"
420,Mapp,Peter,['Peter Mapp Associates'],"['Colchester, Essex, UK']"
421,Mars,Nate,['Electronic Music Collective'],['None']
422,Marshall,Robert,['Source Elements'],['None']
423,Martignon,Paolo,['Contralto Audio srl'],"['Casoli, Italy']"
424,Martin,Bryan,"['McGill University', 'Centre for Interdisciplinary Research in Music Media and Technology']","['Montreal, QC, Canada', 'None']"
425,Martin,Denis,"['McGill University', 'CIRMMT']","['Montreal, QC, Canada', 'Montreal, QC, Canada']"
426,Martz,Steve,['THX Ltd.'],"['San Rafael, CA, USA']"
427,Marui,Atsushi,['Tokyo University of the Arts'],"['Tokyo, Japan']"
428,Massenburg,George,"['Schulich School of Music, McGill University', 'Centre for Interdisciplinary Research in Music Media and Technology']","['Montreal, Quebec, Canada', 'None']"
429,Massini,Pietro,['Ask Industries S.p.A.'],['Monte San Vito']
430,Massy,Sylvia,['Unhinged Industries'],['Ashland']
431,Masucci,Stephen,['None'],['None']
432,Mayo,Andres,['Andres Mayo Mastering & Audio Post'],"['Buenos Aires, Argentina']"
433,Mayo,Paul,['University of Maryland'],"['College Park, MD, USA']"
434,Mazor,Moshav,['Israel'],['None']
435,McCarthy,Bob,['Meyer Sound Laboratories'],"['New York, NY, USA']"
436,McCoy,Brad,['Library of Congress'],"['Culpeper, VA, USA']"
437,McCoy,R.,"['The Mixtape Museum/Columbia University', 'Hip-Hop Hacks']","['New York, NY, USA', 'The Brooklyn Academy of Music']"
438,McCreary,Peggy,['None'],['None']
439,McDonald,Dren,['Facebook'],['None']
440,McGlynn,Matthew,"['MicParts.com', 'Roswell Pro Audio']","['Sebastopol, CA, USA', 'None']"
441,Mclane,Paul,['Radio World'],['None']
442,McLaughlin,Brian,['Harman Professional Solutions'],"['Northridge, CA, USA']"
443,McMullin,Elisabeth,['Samsung Research America'],['USA']
444,McNally,Kirk,"['University of Victoria, School of Music']","['Victoria, BC, Canada']"
445,Mehedi,Md,['Carpenter Technology Corporation'],"['Philadelphia, PA, USA']"
446,Melon,Manuel,['Le Mans Université'],"['Le Mans cedex 9, France']"
447,Merchel,Sebastian,['TU Dresden'],"['Dresden, Germany']"
448,Middlicott,Charles,"['University of Derby', 'Sky Labs Brentwood']","['Derby, UK', 'Essex, UK']"
449,Millan,Andres,['Diffusion Magazine'],['Boutique Pro Audio']
450,Miller,Ryan,['Belmont University'],"['Nashville, TN, USA']"
451,Mimilakis,Stylianos,['Fraunhofer Institute for Digital Media Technology'],['None']
452,Mincieli,Ann,['Jungle City Studios'],"['New York, NY, USA']"
453,Missall,David,['None'],['None']
454,Moffat,Dave,['Queen Mary University of London'],"['London, UK']"
455,Montignies,François,['L-Acoustics'],"['Marcoussis, France']"
456,Moore,Robin,['BBC Research & Development'],"['Salford, UK']"
457,Morelli,Andrew,['Steady State Fate'],['None']
458,Moskowitz,Len,['Core Sound LLC'],"['Teaneck, NJ, USA']"
459,Moulin,Samuel,['L-Acoustics'],"['Marcoussis, France']"
460,Moulson,Aimee,['University of Huddersfield'],"['Huddersfield, UK']"
461,Mourgela,Angeliki,['Queen Mary University of London'],"['London, UK']"
462,Müller,Clemens,['Technical University of Ilmenau'],"['Ilmenau, Germany']"
463,Muniz,Robert,['Harmonic Power Conversion LLC'],"['Douglas, MA, USA']"
464,Murphy,Damian,['University of York'],"['York, UK']"
465,Murphy,David,['Krix Loudspeakers'],"['Henley Beach, South Australia, Australia']"
466,Murtaza,Adrian,['Fraunhofer Institute for Integrated Circuits IIS'],"['Erlangen, Germany']"
467,Muscatello,Martin,['360 Music Lab'],['None']
468,Nakahara,Masataka,"['ONFUTURE Ltd.', 'SONA Corp.']","['Tokyo, Japan', 'Tokyo, Japan']"
469,Nakra,Teresa,"['The College of New Jersey', 'Immersion Music, Inc.']","['Trenton, NJ, USA', 'None']"
470,Nemer,Elias,['XPERI/DTS'],"['Calabasas, CA, USA']"
471,Nemoto,Takahiro,['University of Aizu'],"['Aizuwakamatsu, Japan']"
472,Neubauer,Petr,['Academy of Performing Arts in Prague'],"['Prague, Czech Republic']"
473,Nguyen,Nguyen,['University of Miami'],"['Coral Gables, FL, USA']"
474,Nguyen,Sarah,['Metro'],['None']
475,Nice,DJ,['None'],['None']
476,Nichols,Matt,['Facebook'],['None']
477,Nie,Yafei,"['Institute of Acoustics, Chinese Academy of Sciences']","['Beijing, China']"
478,Niedermeier,Andreas,['Fraunhofer Institute for Integrated Circuits IIS'],"['Erlangen, Germany']"
479,Niekiel,Florian,['Fraunhofer Institute for Silicon Technology ISIT'],"['Itzehoe, Germany']"
480,Nimkin,Benjamin,['independent sound designer'],"['New York, NY, USA']"
481,Nipkow,Lasse,['Silent Work LLC'],"['Zurich, Switzerland']"
482,Nishiguchi,Masayuki,['Akita Prefectural University'],"['Yurihonjo Akita, Japan']"
483,Noguchi,Ken'ichi,['NTT Service Evolution Laboratories'],"['Yokosuka, Japan']"
484,Nophut,Marcel,['Leibniz Universität Hannover'],"['Hannover, Germany']"
485,Norton,Alan,['Ford Motor Company'],['None']
486,Noy,Dirk,['WSDG'],"['Basel, Switzerland']"
487,Núñez-Solano,Daniel,['University of Las Américas'],"['Quito, Ecuador']"
488,O'Donnell,Dave,['Mixer/Engineer'],['None']
489,Ogihara,Mitsunori,['University of Miami'],"['Coral Gables, FL, USA']"
490,Olive,Sean,['Harman International'],"['Northridge, CA, USA']"
491,Olivier,Emmanuelle,['CNRS Centre Georg Simmel'],['None']
492,Olson,Bruce,"['Olson Sound Design, LLC', 'AFMG Services North America, LLC']","['Minneapolis, MN, USA', 'Minneapolis, MN, USA']"
493,Oramus,Tomas,['Academy of Performing Arts in Prague'],"['Prague, Czech Republic']"
494,Orban,Robert,['Orban Labs Inc.'],"['Pennsauken, NJ, USA']"
495,Orcioni,Simone,['Universita Politecnica delle Marche'],"['Ancona, Italy']"
